Year,Month,Day,statefips,countyfips,O3_max_pred,O3_med_pred,O3_mean_pred,O3_pop_pred
2001,JAN,1,1,1,31.939058,31.691988,31.68085858,31.67122622
2001,JAN,1,1,3,33.646855,33.170271,32.99477494,32.9350698
2001,JAN,1,1,5,34.288917,34.068507,34.07795378,34.0866306
2001,JAN,1,1,7,30.349767,30.036093,29.93175575,29.99173343
2001,JAN,1,1,9,26.472655,25.776595,25.85757089,25.87247204
2001,JAN,1,1,11,33.607696,33.252916,33.30463767,33.16963661
2001,JAN,1,1,13,33.385263,32.992025,32.99113056,32.98576588
2001,JAN,1,1,15,29.553653,28.873731,28.79090839,28.77976399
2001,JAN,1,1,17,32.269248,32.032674,31.963699,31.99379195
2001,JAN,1,1,19,28.613335,28.4270775,28.31533883,28.29253928
2001,JAN,1,1,21,31.132989,30.743824,30.64508689,30.57211337
2001,JAN,1,1,23,33.950801,33.7021405,33.686666,33.6776395
2001,JAN,1,1,25,33.887748,33.648907,33.60816311,33.56612076
2001,JAN,1,1,27,30.688122,30.1181705,30.11563425,30.16051593
2001,JAN,1,1,29,30.855293,30.120469,30.20309275,30.26810124
2001,JAN,1,1,31,34.196473,33.9589405,33.99345743,33.99554878
2001,JAN,1,1,33,27.533899,25.682831,25.81640686,25.79504215
2001,JAN,1,1,35,33.752266,33.303454,33.3758202,33.45320003
2001,JAN,1,1,37,31.138993,30.106737,30.39267233,30.37442595
2001,JAN,1,1,39,34.308673,33.864528,33.88753129,33.87796886
2001,JAN,1,1,41,33.736836,33.569304,33.46711467,33.48870514
2001,JAN,1,1,43,25.536257,25.101563,25.14949322,25.15830924
2001,JAN,1,1,45,34.320972,34.0087325,34.05084071,34.02171717
2001,JAN,1,1,47,32.184087,31.871097,31.9030354,31.89259533
2001,JAN,1,1,49,27.930273,27.413324,27.34662136,27.27390003
2001,JAN,1,1,51,32.099179,31.712269,31.72830253,31.72872727
2001,JAN,1,1,53,33.79579,33.52741,33.49546956,33.52425551
2001,JAN,1,1,55,27.523805,27.094409,27.07125937,27.07922117
2001,JAN,1,1,57,29.189538,28.409971,28.3247056,28.53807311
